,After,Afterwards,And,As,Because,Before,But,For example,Furthermore,If,In fact,In other words,Later,Missing,Once,Or,Since,So,So that,Then,Though,Until,When,after,afterwards,also,and,as,as if,because,before,but,for instance,if,if then,in fact,later,now that,once,or,since,so,so that,then,though,till,when,while,yet
After,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Afterwards,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
And,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
As,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Because,0,0,1,0,0,0,1,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Before,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
But,0,0,1,1,0,0,2,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For example,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furthermore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
If,0,0,0,0,2,1,0,0,0,1,0,0,1,20,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
